lookupName,ID_0,ID_1,ID_2,ID_3,ID_4,ID_5,ID_6,ID_7,ID_8,ID_9
abine,85,,,,,,,,,
actin,76,77,,,,,,,,
actor,61,,,,,,,,,
advis,12,,,,,,,,,
affor,14,,,,,,,,,
agels,89,,,,,,,,,
ageme,68,,,,,,,,,
aisal,23,,,,,,,,,
alarm,15,18,,,,,,,,
ality,3,,,,,,,,,
aller,21,,,,,,,,,
allia,17,,,,,,,,,
aluat,62,,,,,,,,,
ameri,18,19,,,,,,,,
anage,68,,,,,,,,,
ances,22,,,,,,,,,
aners,55,,,,,,,,,
anima,20,,,,,,,,,
aning,57,,,,,,,,,
antiq,21,,,,,,,,,
apita,49,,,,,,,,,
appli,22,,,,,,,,,
appra,23,,,,,,,,,
arber,33,,,,,,,,,
arine,31,,,,,,,,,
arpet,55,,,,,,,,,
arrie,51,,,,,,,,,
assoc,24,25,,,,,,,,
atera,52,,,,,,,,,
ating,1,,,,,,,,,
ation,62,67,8,16,,,,,,
ative,81,82,,,,,,,,
audit,27,,,,,,,,,
bagel,89,,,,,,,,,
barbe,33,,,,,,,,,
beaut,34,35,,,,,,,,
bersh,33,,,,,,,,,
binet,85,,,,,,,,,
black,39,,,,,,,,,
brake,40,,,,,,,,,
bread,36,37,,,,,,,,
bronx,41,29,,,,,,,,
broth,42,,,,,,,,,
build,43,44,45,,,,,,,
butin,99,,,,,,,,,
butor,100,,,,,,,,,
cabin,85,,,,,,,,,
caira,47,,,,,,,,,
candy,48,,,,,,,,,
capit,49,,,,,,,,,
carpe,55,,,,,,,,,
carri,51,,,,,,,,,
cater,52,,,,,,,,,
celaj,53,,,,,,,,,
cente,2,,,,,,,,,
ceram,54,,,,,,,,,
ciate,24,25,,,,,,,,
citgo,56,,,,,,,,,
cklan,70,,,,,,,,,
clean,57,55,,,,,,,,
coffe,58,,,,,,,,,
colle,59,,,,,,,,,
colli,60,,,,,,,,,
compa,61,19,,,,,,,,
compr,62,,,,,,,,,
compu,63,64,,,,,,,,
concr,65,,,,,,,,,
conne,66,,,,,,,,,
const,8,67,68,69,70,65,,,,
consu,71,72,73,74,75,,,,,
contr,76,77,,,,,,,,
conve,78,,,,,,,,,
corne,79,,,,,,,,,
corpo,16,92,,,,,,,,
count,98,,,,,,,,,
crane,80,,,,,,,,,
creat,81,82,,,,,,,,
crete,65,,,,,,,,,
ctibl,59,,,,,,,,,
cting,76,77,,,,,,,,
ction,66,8,67,68,69,70,65,,,
ctors,61,,,,,,,,,
culin,83,,,,,,,,,
cultu,84,,,,,,,,,
curit,19,,,,,,,,,
custo,85,86,,,,,,,,
cycle,87,,,,,,,,,
dable,14,,,,,,,,,
deals,6,,,,,,,,,
deliv,94,,,,,,,,,
denta,95,,,,,,,,,
desig,2,,,,,,,,,
devel,96,97,,,,,,,,
dings,49,,,,,,,,,
disco,98,,,,,,,,,
distr,99,100,,,,,,,,
drain,5,,,,,,,,,
dviso,12,,,,,,,,,
ealty,53,,,,,,,,,
eaner,55,,,,,,,,,
eanin,57,,,,,,,,,
eatin,1,,,,,,,,,
eativ,81,82,,,,,,,,
eauty,34,35,,,,,,,,
ectib,59,,,,,,,,,
ectio,66,,,,,,,,,
ecuri,19,,,,,,,,,
ehens,62,,,,,,,,,
elive,94,,,,,,,,,
elopm,96,97,,,,,,,,
ement,68,3,,,,,,,,
engin,72,,,,,,,,,
enien,78,,,,,,,,,
enova,67,8,,,,,,,,
ensiv,62,,,,,,,,,
ental,95,,,,,,,,,
enter,26,73,2,,,,,,,
epair,60,,,,,,,,,
erami,54,,,,,,,,,
erars,52,,,,,,,,,
erica,18,19,,,,,,,,
erpri,26,73,,,,,,,,
ersho,33,,,,,,,,,
ervic,40,57,63,64,74,76,83,94,95,14
esign,2,,,,,,,,,
evalu,62,,,,,,,,,
evelo,96,97,,,,,,,,
ewelr,7,,,,,,,,,
fford,14,,,,,,,,,
floor,86,,,,,,,,,
forda,14,,,,,,,,,
galle,21,,,,,,,,,
gemen,68,,,,,,,,,
gging,80,,,,,,,,,
ginee,72,,,,,,,,,
groce,48,91,92,,,,,,,
group,81,96,,,,,,,,
heati,1,,,,,,,,,
hensi,62,,,,,,,,,
holdi,49,,,,,,,,,
holst,55,,,,,,,,,
hospi,20,,,,,,,,,
iance,17,22,,,,,,,,
iates,24,25,,,,,,,,
ibles,59,,,,,,,,,
ibuti,99,,,,,,,,,
ibuto,100,,,,,,,,,
ience,78,,,,,,,,,
iggin,80,,,,,,,,,
